amount,account_age_days,distance_from_home_km,transaction_velocity_1h,hour,is_international,has_chargeback_history,avg_ticket_30d,is_night_txn,channel_in_store,day_of_week,device_type_mobile,merchant_category_travel,device_type_desktop,channel_online,is_weekend,merchant_category_utilities,device_type_pos_terminal,merchant_category_gaming,merchant_category_groceries,is_fraud
94.55,1672.0,13.65,3.0,2.0,0.0,0.0,155.38,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
457.99,2676.0,6.27,1.0,12.0,0.0,0.0,129.97,0.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
386.12,2027.0,20.32,0.0,3.0,1.0,0.0,176.85,1.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
103.29,2598.0,6.5,2.0,18.0,0.0,0.0,95.51,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
92.86,887.0,14.34,2.0,4.0,0.0,0.0,268.18,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
259.57,3347.0,4.65,1.0,12.0,0.0,0.0,184.36,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
189.14,61.0,6.63,3.0,1.0,0.0,1.0,290.89,1.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
259.08,2495.0,21.85,3.0,22.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0
147.89,274.0,19.83,1.0,1.0,0.0,0.0,208.66,1.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
203.81,3524.0,12.69,2.0,15.0,0.0,0.0,355.63,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
175.48,3168.0,1.44,3.0,12.0,0.0,0.0,151.3,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0
256.54,3103.0,26.26,4.0,1.0,0.0,0.0,405.92,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
90.03,621.0,1.85,2.0,21.0,0.0,0.0,313.62,0.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
215.73,1019.0,54.78,3.0,9.0,0.0,0.0,39.37,0.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0
487.72,3542.0,13.11,0.0,19.0,0.0,0.0,88.11,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
469.09,1557.0,3.68,2.0,11.0,0.0,0.0,353.96,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
234.59,1742.0,16.66,2.0,4.0,1.0,1.0,114.72,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
88.38,128.0,21.49,0.0,6.0,0.0,0.0,119.17,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
647.4,2558.0,5.0,1.0,3.0,1.0,1.0,295.19,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
256.6,1658.0,15.58,8.0,9.0,0.0,0.0,524.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
605.72,3570.0,77.7,2.0,14.0,0.0,0.0,230.87,0.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
264.3,1684.0,18.38,2.0,13.0,0.0,0.0,179.51,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
12.02,314.0,25.23,2.0,7.0,1.0,0.0,344.35,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
644.64,849.0,3.5,4.0,8.0,0.0,0.0,119.33,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
349.22,1246.0,15.57,2.0,12.0,0.0,0.0,61.99,0.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
198.04,3271.0,22.2,1.0,6.0,0.0,1.0,168.45,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0
34.53,116.0,1.56,1.0,17.0,0.0,0.0,110.05,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
375.99,1432.0,4.62,4.0,7.0,0.0,1.0,336.82,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
262.48,1209.0,2.36,1.0,21.0,0.0,0.0,332.73,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
768.04,453.0,45.53,2.0,5.0,0.0,0.0,93.38,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
566.05,349.0,26.69,4.0,4.0,0.0,0.0,126.04,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
594.02,754.0,11.54,1.0,22.0,0.0,0.0,204.63,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0
229.99,3074.0,8.8,0.0,1.0,0.0,0.0,358.14,1.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0
222.39,493.0,20.22,2.0,0.0,0.0,0.0,121.21,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
264.61,1612.0,18.69,2.0,5.0,0.0,0.0,245.95,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
113.1,3254.0,1.17,1.0,4.0,1.0,0.0,33.3,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0
202.51,2091.0,2.37,0.0,13.0,0.0,0.0,160.43,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
172.57,878.0,21.79,2.0,20.0,0.0,0.0,171.5,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
449.09,550.0,1.4,2.0,2.0,0.0,0.0,135.39,1.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
512.26,666.0,18.91,1.0,12.0,0.0,0.0,81.58,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
318.21,1701.0,15.05,0.0,7.0,0.0,0.0,165.86,0.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
97.55,255.0,2.28,2.0,18.0,0.0,0.0,253.09,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
672.16,2627.0,39.37,2.0,7.0,0.0,0.0,159.11,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
374.64,719.0,4.57,4.0,7.0,0.0,0.0,42.99,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
251.44,3379.0,30.24,5.0,2.0,0.0,0.0,114.03,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
297.34,1073.0,7.72,2.0,0.0,1.0,0.0,366.66,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0
55.15,1951.0,6.96,2.0,23.0,0.0,0.0,210.55,1.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
172.82,141.0,5.41,4.0,10.0,0.0,0.0,48.84,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
475.44,1697.0,23.01,3.0,20.0,1.0,0.0,17.9,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
52.4,1618.0,24.08,0.0,23.0,0.0,0.0,98.69,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
50.79,204.0,13.31,3.0,14.0,0.0,0.0,182.42,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
376.29,3146.0,7.41,2.0,13.0,0.0,0.0,125.16,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0
282.54,2715.0,29.12,2.0,21.0,0.0,1.0,435.82,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
53.06,2202.0,7.26,2.0,17.0,0.0,0.0,206.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0
160.73,1246.0,17.41,3.0,6.0,0.0,0.0,55.49,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
251.44,3413.0,24.32,3.0,23.0,0.0,0.0,278.72,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
230.06,941.0,13.91,4.0,20.0,0.0,0.0,133.31,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
266.11,827.0,3.62,3.0,0.0,0.0,1.0,113.63,1.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
151.31,2150.0,29.21,2.0,16.0,0.0,0.0,285.54,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
238.84,266.0,35.95,5.0,0.0,1.0,0.0,85.43,1.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
317.81,1585.0,0.22,2.0,5.0,0.0,0.0,206.71,1.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
300.73,1494.0,15.43,2.0,15.0,0.0,0.0,33.1,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0
154.96,3150.0,10.87,2.0,16.0,0.0,0.0,140.5,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
338.95,1088.0,8.65,3.0,5.0,0.0,0.0,237.9,1.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0
87.87,623.0,43.7,1.0,12.0,0.0,0.0,154.18,0.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1
117.48,1051.0,11.81,4.0,2.0,0.0,1.0,176.97,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
375.92,1192.0,0.84,1.0,11.0,0.0,0.0,380.5,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
334.01,1013.0,5.47,1.0,6.0,0.0,0.0,353.71,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0
166.23,1378.0,3.84,4.0,22.0,0.0,0.0,241.45,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0
115.46,2922.0,24.83,2.0,19.0,1.0,0.0,52.55,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
128.86,2978.0,4.04,2.0,9.0,0.0,0.0,137.26,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
308.07,1260.0,21.55,2.0,10.0,0.0,0.0,173.95,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
268.26,2068.0,26.59,4.0,22.0,0.0,0.0,109.77,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
109.4,3218.0,1.43,2.0,20.0,0.0,0.0,360.09,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0
332.39,1525.0,25.3,5.0,19.0,0.0,0.0,142.14,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
160.53,1940.0,52.99,1.0,13.0,0.0,0.0,168.21,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
90.54,234.0,6.0,1.0,10.0,0.0,0.0,158.92,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
139.98,459.0,3.34,2.0,14.0,0.0,0.0,182.11,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
214.26,1761.0,4.03,2.0,18.0,0.0,0.0,286.9,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
324.26,973.0,21.85,1.0,2.0,0.0,0.0,529.07,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
309.75,2200.0,23.23,0.0,2.0,0.0,1.0,324.93,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
185.22,2563.0,8.37,5.0,10.0,0.0,0.0,244.57,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
233.39,585.0,18.42,2.0,12.0,1.0,0.0,71.27,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
173.06,2469.0,12.31,2.0,4.0,0.0,0.0,124.31,1.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
109.57,1049.0,19.3,0.0,1.0,0.0,0.0,72.99,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
190.59,2482.0,21.38,2.0,12.0,0.0,0.0,88.06,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
34.22,970.0,4.68,4.0,4.0,0.0,0.0,486.1,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
518.83,1132.0,5.28,4.0,3.0,1.0,0.0,563.88,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
228.96,624.0,27.89,3.0,8.0,0.0,0.0,197.68,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
275.84,57.0,17.07,1.0,21.0,0.0,0.0,348.35,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
113.66,2069.0,0.02,3.0,2.0,0.0,0.0,88.11,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
227.53,1402.0,30.09,2.0,11.0,0.0,0.0,423.72,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
255.94,1005.0,0.41,1.0,21.0,0.0,1.0,416.5,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0
166.72,1945.0,16.71,2.0,0.0,0.0,0.0,159.06,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
173.73,2369.0,2.34,3.0,21.0,0.0,0.0,315.61,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0
63.82,637.0,21.92,0.0,18.0,0.0,0.0,62.48,0.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
631.76,2421.0,4.97,2.0,0.0,1.0,0.0,27.21,1.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
112.28,1153.0,2.6,3.0,9.0,0.0,0.0,358.75,0.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
124.69,2343.0,21.29,4.0,2.0,0.0,0.0,83.7,1.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
540.91,2896.0,0.27,2.0,9.0,0.0,0.0,364.94,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
285.01,3312.0,19.16,4.0,22.0,0.0,0.0,330.36,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
326.11,2345.0,14.0,4.0,20.0,0.0,0.0,400.31,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
59.91,366.0,4.26,3.0,0.0,0.0,0.0,149.46,1.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0
225.47,1865.0,10.24,3.0,19.0,0.0,0.0,190.6,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0
60.6,3642.0,10.25,4.0,22.0,0.0,0.0,151.09,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
98.79,3353.0,1.96,1.0,15.0,0.0,0.0,209.59,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
691.94,1206.0,55.16,3.0,13.0,0.0,0.0,135.54,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
83.62,3099.0,4.13,3.0,15.0,0.0,0.0,226.35,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
315.5,33.0,4.61,3.0,13.0,0.0,0.0,197.95,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
90.81,2057.0,6.78,0.0,5.0,0.0,0.0,516.39,1.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
100.73,2692.0,13.78,1.0,0.0,1.0,0.0,108.05,1.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
970.69,2300.0,50.5,1.0,1.0,0.0,0.0,119.38,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
185.94,1435.0,6.78,4.0,8.0,0.0,0.0,215.97,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
55.72,3140.0,4.36,3.0,17.0,0.0,0.0,308.61,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
324.79,3132.0,2.61,1.0,20.0,0.0,0.0,135.35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
453.01,2552.0,8.36,1.0,5.0,0.0,0.0,76.37,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
345.64,2303.0,2.29,1.0,7.0,0.0,0.0,169.98,0.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
173.79,376.0,5.65,1.0,0.0,0.0,0.0,295.61,1.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0
178.29,3468.0,5.41,1.0,21.0,0.0,0.0,165.24,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
131.16,1751.0,3.31,3.0,3.0,0.0,0.0,116.56,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
74.79,134.0,1.43,2.0,12.0,1.0,0.0,161.74,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
252.5,3030.0,10.65,1.0,1.0,0.0,0.0,171.54,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
167.26,2367.0,15.5,3.0,20.0,0.0,0.0,56.97,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
61.49,2846.0,8.68,1.0,21.0,0.0,0.0,143.72,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0
189.43,1966.0,26.17,3.0,18.0,0.0,0.0,193.77,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
112.85,3268.0,24.22,1.0,4.0,1.0,0.0,209.3,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
243.07,1442.0,6.91,3.0,11.0,0.0,1.0,184.35,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
226.02,1477.0,5.92,1.0,22.0,0.0,0.0,238.1,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
149.53,913.0,4.14,2.0,20.0,0.0,0.0,141.73,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
196.24,2685.0,14.28,4.0,3.0,0.0,0.0,122.63,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
209.03,1452.0,13.24,2.0,20.0,0.0,0.0,90.76,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
375.84,977.0,1.22,3.0,11.0,0.0,0.0,444.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0
190.92,930.0,15.43,1.0,23.0,0.0,0.0,521.59,1.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0
133.73,1734.0,4.71,1.0,10.0,0.0,0.0,340.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
161.41,392.0,4.35,2.0,1.0,1.0,0.0,294.42,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
600.84,1204.0,11.21,4.0,11.0,0.0,0.0,29.18,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
93.71,2076.0,0.14,2.0,19.0,0.0,0.0,320.03,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
169.68,3232.0,17.29,1.0,19.0,0.0,0.0,152.39,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
167.73,3076.0,26.24,3.0,15.0,1.0,1.0,115.61,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
173.23,143.0,5.11,0.0,20.0,0.0,0.0,283.83,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
72.42,936.0,22.31,3.0,16.0,0.0,0.0,80.29,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1
160.73,302.0,66.8,2.0,13.0,0.0,0.0,204.77,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
128.32,3350.0,0.96,2.0,22.0,0.0,0.0,131.58,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
242.27,3217.0,33.4,2.0,6.0,0.0,0.0,213.59,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
412.85,2829.0,43.94,2.0,0.0,0.0,1.0,298.39,1.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
255.94,2555.0,20.13,3.0,22.0,0.0,0.0,479.83,0.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
214.75,325.0,8.65,0.0,18.0,0.0,0.0,151.6,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
274.04,2009.0,21.89,2.0,18.0,0.0,0.0,215.76,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
229.41,332.0,16.81,5.0,9.0,0.0,0.0,328.83,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
