transaction_id,customer_id,amount,hour,day_of_week,merchant_category,device_type,channel,distance_from_home_km,transaction_velocity_1h,account_age_days,avg_ticket_30d,is_international,has_chargeback_history,is_weekend,is_night_txn,is_fraud
TXN-00000055,13942,512.26,12,2,gaming,desktop,in_store,18.91,1,666,81.58,0,0,0,0,0
TXN-00000056,59190,318.21,7,5,food_delivery,desktop,in_store,15.05,0,1701,165.86,0,0,1,0,0
TXN-00000057,23885,97.55,18,1,fashion,mobile,in_store,2.28,2,255,253.09,0,0,0,0,0
TXN-00000058,76903,672.16,7,2,groceries,desktop,in_store,39.37,2,2627,159.11,0,0,0,0,1
TXN-00000059,71473,374.64,7,2,travel,mobile,online,4.57,4,719,42.99,0,0,0,0,0
TXN-00000060,93026,251.44,2,2,groceries,tablet,atm,30.24,5,3379,114.03,0,0,0,1,0
TXN-00000061,77027,297.34,0,1,utilities,pos_terminal,online,7.72,2,1073,366.66,1,0,0,1,0
TXN-00000062,42997,55.15,23,4,gaming,mobile,online,6.96,2,1951,210.55,0,0,0,1,0
TXN-00000063,97074,172.82,10,5,groceries,mobile,in_store,5.41,4,141,48.84,0,0,1,0,0
TXN-00000064,46976,475.44,20,3,utilities,mobile,in_store,23.01,3,1697,17.9,1,0,0,0,1
TXN-00000065,39323,52.4,23,2,travel,mobile,online,24.08,0,1618,98.69,0,0,0,1,0
TXN-00000066,91497,50.79,14,1,groceries,mobile,in_store,13.31,3,204,182.42,0,0,0,0,0
TXN-00000067,43341,376.29,13,3,groceries,pos_terminal,online,7.41,2,3146,125.16,0,0,0,0,0
TXN-00000068,16870,282.54,21,0,gaming,mobile,in_store,29.12,2,2715,435.82,0,1,0,0,0
TXN-00000069,52259,53.06,17,1,groceries,desktop,online,7.26,2,2202,206.0,0,0,0,0,0
TXN-00000070,81610,160.73,6,2,gaming,tablet,online,17.41,3,1246,55.49,0,0,0,0,0
TXN-00000071,27052,251.44,23,4,healthcare,mobile,in_store,24.32,3,3413,278.72,0,0,0,1,1
TXN-00000072,51664,230.06,20,0,food_delivery,desktop,in_store,13.91,4,941,133.31,0,0,0,0,1
TXN-00000073,21692,266.11,0,6,healthcare,mobile,online,3.62,3,827,113.63,0,1,1,1,0
TXN-00000074,71782,151.31,16,0,travel,mobile,in_store,29.21,2,2150,285.54,0,0,0,0,1
TXN-00000075,52812,238.84,0,5,fashion,mobile,online,35.95,5,266,85.43,1,0,1,1,0
TXN-00000076,39717,317.81,5,6,healthcare,mobile,atm,0.22,2,1585,206.71,0,0,1,1,0
TXN-00000077,30421,300.73,15,6,gaming,tablet,online,15.43,2,1494,33.1,0,0,1,0,0
TXN-00000078,60804,154.96,16,4,utilities,mobile,in_store,10.87,2,3150,140.5,0,0,0,0,0
TXN-00000079,70282,338.95,5,5,gaming,tablet,online,8.65,3,1088,237.9,0,0,1,1,0
TXN-00000080,94626,87.87,12,6,groceries,mobile,online,43.7,1,623,154.18,0,0,1,0,1
TXN-00000081,49343,117.48,2,2,fuel,mobile,online,11.81,4,1051,176.97,0,1,0,1,1
TXN-00000082,24461,375.92,11,5,groceries,mobile,atm,0.84,1,1192,380.5,0,0,1,0,0
TXN-00000083,84940,334.01,6,0,utilities,desktop,online,5.47,1,1013,353.71,0,0,0,0,0
TXN-00000084,66678,166.23,22,5,groceries,pos_terminal,in_store,3.84,4,1378,241.45,0,0,1,0,0
TXN-00000085,73023,115.46,19,5,food_delivery,mobile,in_store,24.83,2,2922,52.55,1,0,1,0,1
TXN-00000086,18750,128.86,9,3,gaming,desktop,in_store,4.04,2,2978,137.26,0,0,0,0,0
TXN-00000087,38112,308.07,10,0,fashion,mobile,in_store,21.55,2,1260,173.95,0,0,0,0,0
TXN-00000088,79105,268.26,22,4,fashion,tablet,in_store,26.59,4,2068,109.77,0,0,0,0,0
TXN-00000089,84902,109.4,20,0,groceries,desktop,online,1.43,2,3218,360.09,0,0,0,0,0
TXN-00000090,49169,332.39,19,0,electronics,mobile,in_store,25.3,5,1525,142.14,0,0,0,0,1
TXN-00000091,82427,160.53,13,3,fashion,pos_terminal,online,52.99,1,1940,168.21,0,0,0,0,0
TXN-00000092,85751,90.54,10,4,electronics,pos_terminal,online,6.0,1,234,158.92,0,0,0,0,0
TXN-00000093,44872,139.98,14,2,food_delivery,pos_terminal,atm,3.34,2,459,182.11,0,0,0,0,0
TXN-00000094,90826,214.26,18,4,groceries,mobile,online,4.03,2,1761,286.9,0,0,0,0,0
TXN-00000095,35949,324.26,2,4,gaming,pos_terminal,in_store,21.85,1,973,529.07,0,0,0,1,0
TXN-00000096,31559,309.75,2,3,electronics,desktop,online,23.23,0,2200,324.93,0,1,0,1,0
TXN-00000097,71423,185.22,10,4,groceries,pos_terminal,in_store,8.37,5,2563,244.57,0,0,0,0,0
TXN-00000098,67307,233.39,12,4,food_delivery,tablet,in_store,18.42,2,585,71.27,1,0,0,0,1
TXN-00000099,22577,173.06,4,4,food_delivery,mobile,online,12.31,2,2469,124.31,0,0,0,1,0
TXN-00000100,84945,109.57,1,5,fashion,tablet,in_store,19.3,0,1049,72.99,0,0,1,1,0
TXN-00000101,27991,190.59,12,4,travel,mobile,online,21.38,2,2482,88.06,0,0,0,0,0
TXN-00000102,82440,34.22,4,2,groceries,mobile,online,4.68,4,970,486.1,0,0,0,1,0
TXN-00000103,10662,518.83,3,1,electronics,mobile,in_store,5.28,4,1132,563.88,1,0,0,1,0
TXN-00000104,81715,228.96,8,2,fuel,tablet,in_store,27.89,3,624,197.68,0,0,0,0,0
TXN-00000105,80822,275.84,21,3,travel,mobile,in_store,17.07,1,57,348.35,0,0,0,0,0
TXN-00000106,80232,113.66,2,2,electronics,pos_terminal,in_store,0.02,3,2069,88.11,0,0,0,1,0
TXN-00000107,69835,227.53,11,0,utilities,tablet,online,30.09,2,1402,423.72,0,0,0,0,0
TXN-00000108,52440,255.94,21,6,utilities,pos_terminal,online,0.41,1,1005,416.5,0,1,1,0,0
TXN-00000109,73464,166.72,0,4,electronics,pos_terminal,online,16.71,2,1945,159.06,0,0,0,1,0
TXN-00000110,34940,173.73,21,6,utilities,pos_terminal,in_store,2.34,3,2369,315.61,0,0,1,0,0
TXN-00000111,80264,63.82,18,6,fashion,desktop,in_store,21.92,0,637,62.48,0,0,1,0,0
TXN-00000112,60007,631.76,0,5,travel,desktop,atm,4.97,2,2421,27.21,1,0,1,1,1
TXN-00000113,51301,112.28,9,6,gaming,desktop,in_store,2.6,3,1153,358.75,0,0,1,0,0
TXN-00000114,55504,124.69,2,4,travel,mobile,online,21.29,4,2343,83.7,0,0,0,1,0
TXN-00000115,61186,540.91,9,6,food_delivery,tablet,online,0.27,2,2896,364.94,0,0,1,0,0
TXN-00000116,13353,285.01,22,5,food_delivery,mobile,online,19.16,4,3312,330.36,0,0,1,0,0
TXN-00000117,22581,326.11,20,3,food_delivery,mobile,in_store,14.0,4,2345,400.31,0,0,0,0,0
TXN-00000118,32093,59.91,0,5,fuel,desktop,online,4.26,3,366,149.46,0,0,1,1,0
TXN-00000119,20307,225.47,19,3,utilities,desktop,online,10.24,3,1865,190.6,0,0,0,0,0
TXN-00000120,49564,60.6,22,2,gaming,pos_terminal,in_store,,4,3642,151.09,0,0,0,0,0
TXN-00000121,70155,98.79,15,0,groceries,mobile,in_store,1.96,1,3353,209.59,0,0,0,0,0
TXN-00000122,68897,691.94,13,1,groceries,desktop,atm,55.16,3,1206,135.54,0,0,0,0,1
TXN-00000123,52398,83.62,15,5,fashion,mobile,in_store,4.13,3,3099,226.35,0,0,1,0,0
TXN-00000124,86956,315.5,13,6,fuel,tablet,online,4.61,3,33,197.95,0,0,1,0,0
TXN-00000125,60870,90.81,5,6,groceries,mobile,online,6.78,0,2057,516.39,0,0,1,1,0
TXN-00000126,17127,100.73,0,6,cash_withdrawal,mobile,online,13.78,1,2692,108.05,1,0,1,1,1
TXN-00000127,78849,970.69,1,0,food_delivery,tablet,online,50.5,1,2300,119.38,0,0,0,1,1
TXN-00000128,61713,185.94,8,1,electronics,mobile,online,6.78,4,1435,215.97,0,0,0,0,0
TXN-00000129,67124,55.72,17,4,fashion,mobile,in_store,4.36,3,3140,308.61,0,0,0,0,0
TXN-00000130,60883,324.79,20,1,cash_withdrawal,tablet,online,2.61,1,3132,135.35,0,0,0,0,0
TXN-00000131,59821,453.01,5,1,groceries,mobile,in_store,8.36,1,2552,76.37,0,0,0,1,0
TXN-00000132,18150,345.64,7,6,fuel,mobile,online,2.29,1,2303,169.98,0,0,1,0,0
TXN-00000133,60328,173.79,0,5,groceries,mobile,online,5.65,1,376,295.61,0,0,1,1,0
TXN-00000134,81541,178.29,21,4,utilities,mobile,online,5.41,1,3468,165.24,0,0,0,0,0
TXN-00000135,37355,131.16,3,0,fashion,mobile,online,3.31,3,1751,116.56,0,0,0,1,0
TXN-00000136,64254,74.79,12,5,food_delivery,mobile,in_store,1.43,2,134,161.74,1,0,1,0,0
TXN-00000137,12773,252.5,1,4,gaming,pos_terminal,in_store,10.65,1,3030,171.54,0,0,0,1,0
TXN-00000138,41274,167.26,20,0,fuel,desktop,online,15.5,3,2367,56.97,0,0,0,0,0
TXN-00000139,49304,61.49,21,5,utilities,mobile,online,8.68,1,2846,143.72,0,0,1,0,0
TXN-00000140,98445,189.43,18,3,cash_withdrawal,pos_terminal,online,26.17,3,1966,193.77,0,0,0,0,0
TXN-00000141,29312,112.85,4,4,groceries,mobile,in_store,24.22,1,3268,209.3,1,0,0,1,0
TXN-00000142,34889,243.07,11,2,electronics,desktop,online,6.91,3,1442,184.35,0,1,0,0,0
TXN-00000143,46767,226.02,22,3,travel,mobile,online,5.92,1,1477,238.1,0,0,0,0,0
TXN-00000144,99338,149.53,20,1,electronics,desktop,in_store,4.14,2,913,141.73,0,0,0,0,0
TXN-00000145,86805,196.24,3,2,fuel,desktop,online,14.28,4,2685,122.63,0,0,0,1,0
TXN-00000146,13122,209.03,20,2,gaming,mobile,in_store,13.24,2,1452,90.76,0,0,0,0,0
TXN-00000147,31054,375.84,11,1,utilities,pos_terminal,in_store,1.22,3,977,444.7,0,0,0,0,0
TXN-00000148,83949,190.92,23,5,groceries,pos_terminal,online,15.43,1,930,521.59,0,0,1,1,0
TXN-00000149,15247,133.73,10,2,food_delivery,tablet,online,4.71,1,1734,340.0,0,0,0,0,0
TXN-00000150,87009,161.41,1,0,fuel,mobile,in_store,4.35,2,392,294.42,1,0,0,1,1
TXN-00000151,35324,600.84,11,3,electronics,mobile,in_store,11.21,4,1204,29.18,0,0,0,0,1
TXN-00000152,92587,93.71,19,4,food_delivery,mobile,online,0.14,2,2076,320.03,0,0,0,0,0
TXN-00000153,36423,169.68,19,5,electronics,mobile,in_store,17.29,1,3232,152.39,0,0,1,0,0
TXN-00000154,49088,167.73,15,3,fashion,mobile,online,26.24,3,3076,115.61,1,1,0,0,0
TXN-00000155,69571,173.23,20,0,groceries,mobile,online,5.11,0,143,283.83,0,0,0,0,0
TXN-00000156,21365,72.42,16,2,gaming,desktop,online,22.31,3,936,80.29,0,0,0,0,1
TXN-00000157,60132,160.73,13,4,groceries,mobile,in_store,66.8,2,302,204.77,0,0,0,0,0
TXN-00000158,55450,128.32,22,6,food_delivery,pos_terminal,in_store,0.96,2,3350,131.58,0,0,1,0,0
TXN-00000159,80550,242.27,6,4,food_delivery,mobile,in_store,33.4,2,3217,213.59,0,0,0,0,0
TXN-00000160,99648,412.85,0,5,food_delivery,mobile,online,43.94,2,2829,298.39,0,1,1,1,1
TXN-00000161,69787,255.94,22,6,groceries,mobile,in_store,20.13,3,2555,479.83,0,0,1,0,0
TXN-00000162,46826,214.75,18,4,gaming,tablet,online,8.65,0,325,151.6,0,0,0,0,0
TXN-00000163,46574,274.04,18,3,travel,desktop,in_store,21.89,2,2009,215.76,0,0,0,0,0
TXN-00000164,47615,229.41,9,2,food_delivery,mobile,online,16.81,5,332,328.83,0,0,0,0,0
TXN-00000165,83261,195.05,12,2,groceries,mobile,atm,7.77,3,2316,89.34,0,0,0,0,0
TXN-00000166,38909,366.25,14,6,groceries,mobile,online,18.79,2,3153,218.68,0,0,1,0,0
TXN-00000167,25027,157.35,15,0,gaming,mobile,online,25.05,4,161,105.84,1,0,0,0,1
TXN-00000168,40085,71.51,5,6,cash_withdrawal,mobile,online,27.07,3,2945,246.06,0,0,1,1,0
TXN-00000169,12044,124.87,9,4,cash_withdrawal,pos_terminal,in_store,31.7,3,3600,89.78,0,0,0,0,0
TXN-00000170,19552,111.84,6,5,groceries,mobile,atm,1.71,1,952,74.17,1,0,1,0,0
TXN-00000171,18104,708.25,10,4,gaming,mobile,in_store,0.61,1,1730,154.64,0,1,0,0,1
TXN-00000172,79438,429.19,14,2,healthcare,mobile,in_store,27.19,1,213,171.98,0,0,0,0,1
TXN-00000173,75011,216.66,6,5,electronics,desktop,online,19.61,2,1494,99.57,0,0,1,0,0
TXN-00000174,72708,114.23,8,6,utilities,pos_terminal,in_store,33.61,2,2176,215.18,0,0,1,0,0
TXN-00000175,51568,363.75,8,2,groceries,mobile,online,7.4,0,326,80.83,0,0,0,0,0
TXN-00000176,74534,210.63,7,0,cash_withdrawal,mobile,online,34.39,1,106,179.36,0,1,0,0,1
TXN-00000177,24514,157.61,19,2,fashion,mobile,online,6.66,0,1158,392.46,0,0,0,0,0
TXN-00000178,91055,211.88,0,5,gaming,mobile,in_store,7.91,2,820,111.78,0,0,1,1,1
TXN-00000179,55093,160.92,14,0,gaming,mobile,online,23.28,4,2698,134.1,0,0,0,0,0
TXN-00000180,94423,271.79,3,2,healthcare,pos_terminal,in_store,0.4,3,2531,167.17,0,0,0,1,0
TXN-00000181,23707,65.64,11,5,electronics,pos_terminal,online,8.64,2,1307,24.92,0,1,1,0,0
TXN-00000182,54759,270.45,14,3,travel,desktop,in_store,1.0,2,344,161.87,0,0,0,0,0
TXN-00000183,72668,160.76,11,3,food_delivery,desktop,atm,5.21,2,3322,199.99,0,0,0,0,0
TXN-00000184,54605,369.22,9,0,cash_withdrawal,desktop,in_store,18.62,0,1582,93.14,0,0,0,0,1
TXN-00000185,50153,435.88,14,5,cash_withdrawal,mobile,in_store,23.24,2,2233,87.87,0,0,1,0,1
TXN-00000186,24959,499.12,0,3,groceries,mobile,atm,51.71,3,2371,337.07,0,0,0,1,0
TXN-00000187,44291,742.52,21,3,groceries,desktop,in_store,34.16,2,2288,375.85,0,1,0,0,0
TXN-00000188,31488,487.81,8,1,utilities,mobile,online,48.82,1,3501,350.08,0,0,0,0,1
TXN-00000189,37135,361.42,1,0,fashion,pos_terminal,in_store,1.36,1,1411,111.86,0,0,0,1,0
TXN-00000190,71532,74.42,8,2,gaming,desktop,online,5.44,2,2407,103.92,0,0,0,0,0
TXN-00000191,66724,17.88,8,1,fashion,desktop,online,2.41,2,1986,38.91,0,0,0,0,0
TXN-00000192,64647,395.14,5,3,groceries,mobile,in_store,5.28,0,368,560.92,1,0,0,1,0
TXN-00000193,42562,98.35,14,2,food_delivery,pos_terminal,in_store,12.99,1,2853,265.83,0,0,0,0,0
TXN-00000194,96371,1080.87,3,6,food_delivery,mobile,atm,26.85,3,3636,117.5,0,0,1,1,0
TXN-00000195,17888,49.61,8,1,fashion,desktop,online,30.96,2,1563,369.35,0,0,0,0,0
TXN-00000196,40832,351.06,0,1,gaming,mobile,in_store,9.3,3,1195,232.89,0,0,0,1,0
TXN-00000197,20620,228.91,5,2,utilities,mobile,online,15.77,3,122,362.51,1,0,0,1,1
TXN-00000198,40504,55.51,15,2,gaming,pos_terminal,online,24.12,3,1990,87.69,0,0,0,0,0
TXN-00000199,96569,227.9,6,5,fashion,tablet,online,10.86,3,123,477.9,0,0,1,0,0
TXN-00000200,42963,109.09,18,1,groceries,desktop,atm,7.69,7,3392,105.56,0,0,0,0,0
TXN-00000201,91771,186.41,12,5,fashion,mobile,in_store,13.43,2,514,119.68,1,0,1,0,0
TXN-00000202,54555,188.38,5,3,food_delivery,tablet,in_store,2.03,3,2020,209.85,0,0,0,1,0
TXN-00000203,72972,110.41,6,5,food_delivery,mobile,online,41.96,2,3569,145.92,0,0,1,0,0
TXN-00000204,51167,149.98,7,1,fashion,desktop,in_store,6.55,3,1485,449.29,0,0,0,0,0
TXN-00000205,33928,101.71,12,3,groceries,desktop,atm,1.98,1,1615,183.11,0,0,0,0,0
TXN-00000206,78779,35.78,21,1,utilities,mobile,online,12.26,1,85,97.83,0,0,0,0,0
TXN-00000207,97224,214.27,5,2,healthcare,mobile,online,3.72,3,2843,79.99,0,1,0,1,0
TXN-00000208,33716,486.16,23,4,groceries,mobile,atm,2.61,3,1457,118.91,0,0,0,1,0
TXN-00000209,80086,106.88,15,3,electronics,mobile,in_store,13.32,1,2495,360.81,0,0,0,0,0
TXN-00000210,33502,651.23,13,1,healthcare,pos_terminal,in_store,1.02,0,1705,241.19,0,0,0,0,0
TXN-00000211,74519,740.42,7,4,groceries,mobile,online,0.14,3,2307,58.71,0,0,0,0,0
TXN-00000212,81009,140.11,9,3,travel,pos_terminal,in_store,13.71,2,2090,126.11,0,0,0,0,0
TXN-00000213,50442,167.36,18,3,utilities,mobile,in_store,14.23,0,1497,362.83,0,0,0,0,0
TXN-00000214,76322,142.32,23,0,electronics,pos_terminal,in_store,19.92,1,246,316.26,0,0,0,1,0
TXN-00000215,34501,75.46,12,2,electronics,mobile,in_store,1.46,0,401,234.26,0,0,0,0,0
TXN-00000216,17132,167.99,1,5,electronics,desktop,in_store,1.89,2,1821,128.54,0,0,1,1,0
TXN-00000217,18675,153.71,13,2,fuel,mobile,atm,14.07,2,1351,82.3,0,0,0,0,0
TXN-00000218,50231,211.56,7,0,groceries,pos_terminal,online,3.32,1,174,410.21,0,0,0,0,0
TXN-00000219,91233,220.1,18,1,electronics,mobile,online,0.75,1,836,174.13,0,0,0,0,0
TXN-00000220,21481,70.32,12,4,electronics,mobile,in_store,9.54,2,653,117.0,0,1,0,0,0
TXN-00000221,51019,303.85,3,1,fuel,desktop,in_store,27.2,2,3502,87.7,0,0,0,1,0
TXN-00000222,73362,166.45,5,1,travel,desktop,online,8.78,0,2854,124.76,1,0,0,1,0
TXN-00000223,28212,83.36,21,5,fuel,tablet,in_store,16.25,1,2694,118.49,0,0,1,0,0
TXN-00000224,74944,163.55,22,4,food_delivery,mobile,online,1.8,1,374,166.93,0,0,0,0,0
TXN-00000225,37535,226.37,9,4,food_delivery,mobile,online,12.33,3,3513,71.68,0,0,0,0,0
TXN-00000226,82778,547.27,12,0,fashion,mobile,in_store,28.41,1,3256,245.1,0,0,0,0,0
TXN-00000227,62129,490.05,8,2,food_delivery,desktop,in_store,0.45,2,1752,432.4,0,0,0,0,0
TXN-00000228,59221,130.79,21,2,travel,mobile,online,9.22,1,1507,440.17,0,0,0,0,0
TXN-00000229,25909,175.32,20,2,utilities,pos_terminal,in_store,52.7,1,37,191.89,0,0,0,0,0
TXN-00000230,51688,99.15,7,4,travel,pos_terminal,online,55.43,1,624,107.09,0,0,0,0,0
TXN-00000231,87094,253.53,5,6,healthcare,mobile,online,28.81,1,420,243.79,0,0,1,1,0
TXN-00000232,11757,136.64,3,4,fuel,mobile,online,2.58,1,1331,392.03,0,0,0,1,0
TXN-00000233,78265,170.78,18,0,food_delivery,tablet,in_store,0.72,1,2256,226.33,0,0,0,0,0
TXN-00000234,54348,404.66,21,2,groceries,tablet,in_store,40.49,2,2579,218.16,0,0,0,0,0
TXN-00000235,74750,70.05,12,0,groceries,tablet,online,22.04,4,227,333.36,1,0,0,0,0
TXN-00000236,69696,490.81,11,3,healthcare,tablet,online,2.24,1,2140,264.0,0,0,0,0,1
TXN-00000237,48887,271.65,8,1,travel,pos_terminal,in_store,6.46,2,3229,203.03,0,0,0,0,0
TXN-00000238,37779,475.53,19,2,food_delivery,mobile,online,10.36,2,1429,172.65,0,0,0,0,0
TXN-00000239,66457,337.05,1,3,utilities,mobile,in_store,6.32,5,683,114.77,0,0,0,1,0
TXN-00000240,22620,380.22,7,0,groceries,pos_terminal,atm,17.24,3,395,296.05,0,0,0,0,0
TXN-00000241,62568,203.8,14,4,food_delivery,pos_terminal,online,2.67,2,507,126.21,0,0,0,0,0
TXN-00000242,18522,81.43,2,3,fashion,mobile,online,7.77,1,1391,228.59,0,0,0,1,0
TXN-00000243,68485,122.89,8,3,gaming,mobile,online,10.64,1,1286,325.75,0,0,0,0,0
TXN-00000244,66586,104.16,15,6,food_delivery,mobile,in_store,17.14,2,952,377.49,0,0,1,0,0
TXN-00000245,17599,27.02,8,2,electronics,mobile,online,8.63,4,129,308.51,0,0,0,0,0
TXN-00000246,78173,404.17,6,3,groceries,tablet,atm,7.66,1,3133,242.07,0,0,0,0,0
TXN-00000247,47422,186.83,17,3,gaming,mobile,atm,24.87,2,1011,273.06,1,0,0,0,0
TXN-00000248,80818,97.17,22,2,groceries,mobile,online,1.49,1,3019,400.98,0,0,0,0,0
TXN-00000249,13745,721.8,5,6,food_delivery,mobile,online,16.81,0,596,130.73,0,0,1,1,1
TXN-00000250,26150,929.67,7,3,groceries,mobile,in_store,15.51,1,591,218.3,0,0,0,0,0
TXN-00000251,54458,62.05,5,6,groceries,mobile,online,16.69,2,846,294.9,0,0,1,1,0
TXN-00000252,26940,167.89,6,5,food_delivery,desktop,in_store,27.85,1,1578,82.88,0,0,1,0,0
TXN-00000253,39687,159.53,22,6,electronics,mobile,atm,0.33,1,2118,290.31,0,0,1,0,0
TXN-00000254,69453,90.6,18,0,food_delivery,tablet,in_store,24.65,3,2273,261.33,0,1,0,0,0
TXN-00000255,23007,397.7,19,4,groceries,mobile,online,2.04,2,1246,159.58,0,1,0,0,0
TXN-00000256,70992,27.43,9,3,fuel,pos_terminal,in_store,35.39,4,501,190.43,0,0,0,0,0
